experiment	expected_log10	observed_log10
exp01	0.8660229715749592	1.196760665011972
exp01	0.8628305934744369	1.1943995398447818
exp01	0.8596878242277364	1.1876974430206273
exp01	0.8565415089797294	1.184225153938986
exp01	0.8534437619565087	1.184225153938986
exp01	0.8503421991802314	1.180495320822116
exp01	0.8472626295885753	1.1667338128043077
exp01	0.844230137094649	1.150239513476515
exp01	0.8411934542977854	1.1477432575793967
exp01	0.8382029009569378	1.139936073813359
exp01	0.8352079268538913	1.1369664375717896
exp01	0.8322334652622216	1.1219455090879196
exp01	0.829303772831025	1.1197311631423679
exp01	0.8263693394919756	1.1145667194113558
exp01	0.823478809324582	1.1145667194113553
exp01	0.820583341194636	1.1139277888069687
exp01	0.817707049549272	1.105939482690402
exp01	0.8148734159340492	1.1055752398324747
exp01	0.8120345705590312	1.0961327114106958
exp01	0.8092375892585908	1.0907360455581125
exp01	0.8064352276596458	1.0828783355660372
exp01	0.8036508329198728	1.0670750553582653
exp01	0.800907158923392	1.059689986985301
exp01	0.7981578704727077	1.053666600555288
exp01	0.7954485726323134	1.048026181813915
exp01	0.7927335162340816	1.0366157355716767
exp01	0.7900353280144836	1.0348681481305495
exp01	0.7873760774642051	1.0344368706991618
exp01	0.784710868228819	1.0308654056768756
exp01	0.7820839233069724	1.0170879570124516
exp01	0.7794508966075032	1.0165882459668343
exp01	0.7768554818097594	1.0165882459668338
exp01	0.7742538697053198	1.0133820034865944
exp01	0.7716677496266386	1.0071344658154127
exp01	0.7691182988331436	1.0055194271267092
exp01	0.7665624904747128	0.9976118514130102
exp01	0.7640427474981075	0.9839307660526221
exp01	0.7615165485270969	0.9796823046930319
exp01	0.7590049589812046	0.9675740783428244
exp01	0.7565285612056578	0.9675740783428244
exp01	0.7540455710780571	0.9660577274625433
exp01	0.7515972123494058	0.9610819339696304
exp01	0.7491421776494991	0.9610819339696304
exp01	0.7467009431051025	0.9610819339696304
exp01	0.7442935283766053	0.9610819339696304
exp01	0.7418793220472399	0.9610819339696304
exp01	0.7394984143566481	0.9610819339696304
exp01	0.7371106443067551	0.9578808144459092
exp01	0.7347359305695269	0.9549966008558882
exp01	0.7323937598229685	0.9468025673604012
exp01	0.7300446291087683	0.94029008831512
exp01	0.7277275556061963	0.9381017747738446
exp01	0.7254034625719313	0.9307937956769957
exp01	0.7230917405669709	0.9300458577478712
exp01	0.720811370717431	0.9263944039073743
exp01	0.7185238994313109	0.9263944039073743
exp01	0.7162673265846886	0.9190027007851724
exp01	0.7140036025023725	0.9156043226163653
exp01	0.7117703351156225	0.9133621649415
exp01	0.7095298702426244	0.9133621649415
exp01	0.7073009043204045	0.907519923769395
exp01	0.7051017530777675	0.8998392098821533
exp01	0.7028953411419494	0.8930015435531937
exp01	0.7007183301869915	0.8847700242508268
exp01	0.6985340203798119	0.8777901397375629
exp01	0.6963606417321339	0.873952291447555
exp01	0.6942160622618384	0.8735422422512645
exp01	0.6920641321083767	0.8735422422512642
exp01	0.6899406129994943	0.8735422422512642
exp01	0.6878097121374623	0.8684291129188758
exp01	0.6856892156828825	0.8663143897927972
exp01	0.6835965651720551	0.8522053465738659
exp01	0.6814964910513459	0.8468047740750015
exp01	0.6794238981042225	0.8437336431205407
exp01	0.6773438566972635	0.8432596837714657
exp01	0.6752737301231269	0.8432596837714657
exp01	0.6732305532005352	0.8432596837714657
exp01	0.6711798947187272	0.837538504944606
exp01	0.669155842517017	0.8356587639793638
exp01	0.6671242893707636	0.8356587639793638
