expected_log10	ci_low_log10	ci_high_log10
0.9783488818062319	0.9712033678038923	0.985572948541375
0.9742326417849066	0.967145788615001	0.9814398200251127
0.9701550494415112	0.9630923382862698	0.9773112129013961
0.9661153857896918	0.9591098729708647	0.9732552124773254
0.9621129517219409	0.9551307707959703	0.9692029380338611
0.9581470672834588	0.9511879783308007	0.9651879358618423
0.9542170709788714	0.9473132523382842	0.9612425311212
0.950322319110036	0.9434408362381282	0.9572997584952277
0.9464621851432763	0.9396028158446575	0.9533922812739366
0.9426360591044919	0.9358301489841774	0.9495516054460973
0.9388433470006817	0.9320588432979114	0.9457125766487496
0.9350834702665082	0.9283511891956452	0.941938595790337
0.9313558652346134	0.9246443167947509	0.9381656603785874
0.9276599826284748	0.9209689720337674	0.934425059738698
0.9239952870766578	0.9173548656835687	0.9307470216846607
